Digite o numero de processos:
Digite o tempo de chegada e tempo de execucao do processo A: 
Digite o tempo de chegada e tempo de execucao do processo B: 
Digite o tempo de chegada e tempo de execucao do processo C: 
Digite o tempo de chegada e tempo de execucao do processo D: 
Digite o tempo de chegada e tempo de execucao do processo E: 
Digite o tempo de chegada e tempo de execucao do processo F: 
Digite o tempo de chegada e tempo de execucao do processo G: 
Digite o tempo de chegada e tempo de execucao do processo H: Processos na primeira fila executando RR com qt=1
Processo	RT		WT		TAT		Execucao	
A		5		0		1		1 - 2	
B		8		0		1		2 - 3	
D		9		0		1		3 - 4	
F		6		1		2		4 - 5	
C		2		1		2		5 - 6	
G		5		2		3		6 - 7	
H		1		1		2		7 - 8	
E		5		1		2		8 - 9	

Processos na segunda fila executando RR com qt=2
Processo	RT		WT		TAT		Execucao
A		4		7		9		9 - 11	
B		7		8		10		11 - 13	
D		8		9		11		13 - 15	
F		5		10		12		15 - 17	
C		1		11		12		17 - 18
G		4		11		13		18 - 20	
E		4		11		13		20 - 22	

Processos na terceira fila executando SRTN
Processo	RT		WT		TAT		Execucao
A		2		11		13		22 - 24
G		2		4		6		24 - 26
E		2		4		6		26 - 28
F		3		11		14		28 - 31
B		5		18		23		31 - 36
D		6		21		27		36 - 42
